Team Name,Captain,Vice Captain,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Credits,Confidence
Team 1,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,95.5,1
Team 2,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shadab Khan,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,96,1
Team 3,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Imam-ul-Haq,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,93.5,1
Team 4,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,Hasan Ali,95.5,1
Team 5,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Mohammad Rizwan,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,95.5,1
Team 6,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,Hasan Ali,94,1
Team 7,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Moeen Ali,Ben Stokes,Shadab Khan,Chris Woakes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,96,1
Team 8,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Mohammad Rizwan,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,97,1
Team 9,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,95.5,1
Team 10,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shadab Khan,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,96,1
Team 11,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Imam-ul-Haq,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,93.5,1
Team 12,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,Hasan Ali,95.5,1
Team 13,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Mohammad Rizwan,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,95.5,1
Team 14,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,Hasan Ali,94,1
Team 15,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Moeen Ali,Ben Stokes,Shadab Khan,Chris Woakes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,96,1
Team 16,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Mohammad Rizwan,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,97,1
Team 17,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,95.5,1
Team 18,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shadab Khan,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,96,1
Team 19,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Harry Brook,Imam-ul-Haq,Moeen Ali,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,93.5,1
Team 20,Shaheen Afridi,Jofra Archer,Sarfaraz Ahmed,Babar Azam,Joe Root,Fakhar Zaman,Moeen Ali,Ben Stokes,Shaheen Afridi,Jofra Archer,Mark Wood,Adil Rashid,Hasan Ali,95.5,1